Name,Position,Height,Weight,Major,Team,School
Tanner Smith,Catcher,"6'0""",200 lb,Accounting,Miami Hurricanes,University of Miami
Will Smith,Right-Handed Pitcher,"6'0""",195 lb,Finance,Miami Hurricanes,University of Miami
Michael Torres,Outfield,"5'11""",185 lb,Marketing Analytics,Miami Hurricanes,University of Miami
Alex Stanyek,Right-Handed Pitcher,"5'11""",180 lb,Applied Mathematics,Miami Hurricanes,University of Miami
Nick Robert,Right-Handed Pitcher,"6'5""",230 lb,Engineering,Miami Hurricanes,University of Miami
Fabio Peralta,Outfield,"6'2""",185 lb,Communications,Miami Hurricanes,University of Miami
Amaury De Jesus,Infield,"5'10""",175 lb,Political Science,Miami Hurricanes,University of Miami
Michael Fernandez,Left-Handed Pitcher,"5'10""",170 lb,Environmental Science,Miami Hurricanes,University of Miami
Evan Taveras,Catcher,"6'2""",210 lb,Health Sciences,Miami Hurricanes,University of Miami
Alex Giroux,Right-Handed Pitcher,"6'0""",185 lb,Economics,Miami Hurricanes,University of Miami
Ryan Ashford,Left-Handed Pitcher,"6'2""",212 lb,Biology,Miami Hurricanes,University of Miami
Jake Dorn,Left-Handed Pitcher,"6'4""",235 lb,Information Systems,Miami Hurricanes,University of Miami
Brixton Lofgren,Right-Handed Pitcher,"6'0""",183 lb,Finance,Miami Hurricanes,University of Miami
Ethan Puig,Catcher/Infield,"5'11""",195 lb,Management Information Systems,Miami Hurricanes,University of Miami
Jackson Cleveland,Right-Handed Pitcher,"6'0""",200 lb,Operations Management,Miami Hurricanes,University of Miami
Renzo Gonzalez,Infield/Outfield,"5'10""",195 lb,Marketing,Miami Hurricanes,University of Miami
AJ Ciscar,Right-Handed Pitcher,"6'3""",215 lb,Criminal Justice,Miami Hurricanes,University of Miami
Adrian Areizaga,Infield,"6'1""",190 lb,International Relations,Miami Hurricanes,University of Miami
Gaby Gutierrez,Outfield,"5'10""",215 lb,Sports Management,Miami Hurricanes,University of Miami
Lazaro Collera,Right-Handed Pitcher,"6'5""",230 lb,Applied Physics,Miami Hurricanes,University of Miami
Pierce Gallo,Infield,"6'2""",205 lb,Business Administration,Rice Owls,Rice University
Mauricio Rodriguez,Right-Handed Pitcher,"6'2""",225 lb,Finance,Rice Owls,Rice University
Brendan Cumming,Outfield,"6'0""",200 lb,Communications,Rice Owls,Rice University
Max Johnson,Infield,"6'1""",195 lb,Marketing,Rice Owls,Rice University
Nathan Becker,Infield,"6'2""",225 lb,Economics,Rice Owls,Rice University
Christian Salazar,Outfield,"5'10""",190 lb,Public Health,Rice Owls,Rice University
Trey Duffield,Outfield,"6'3""",225 lb,Management,Rice Owls,Rice University
Ben Dukes,Outfield,"6'0""",190 lb,Information Systems,Rice Owls,Rice University
Jack Ben-Shoshan,Right-Handed Pitcher,"6'0""",195 lb,Computer Science,Rice Owls,Rice University
Reed Gallant,Pitcher,"6'1""",200 lb,Applied Mathematics,Rice Owls,Rice University
Paul Smith,Right-Handed Pitcher,"5'11""",215 lb,Statistics,Rice Owls,Rice University
Jack Riedel,Infield,"6'1""",190 lb,International Business,Rice Owls,Rice University
Garrett Stratton,Right-Handed Pitcher,"6'2""",200 lb,Engineering,Rice Owls,Rice University
Graiden West,Infield,"6'3""",195 lb,Data Science,Rice Owls,Rice University
Ben Royo,Infield,"6'2""",195 lb,Accounting,Rice Owls,Rice University
Eric Correa,Outfield,"5'10""",190 lb,Media Studies,Rice Owls,Rice University
Treyton Rank,Infield,"6'0""",215 lb,Supply Chain Management,Rice Owls,Rice University
Tobias Motley,Infield,"6'2""",195 lb,Marketing Analytics,Rice Owls,Rice University
Jacob Devenny,Outfield,"5'11""",200 lb,Biology,Rice Owls,Rice University
Ryland Urbanczyk,Right-Handed Pitcher,"6'1""",215 lb,Information Technology,Rice Owls,Rice University
Parker Smith,Pitcher,"6'4""",230 lb,Operations Management,Rice Owls,Rice University
Tyler Hamilton,Right-Handed Pitcher,"6'1""",205 lb,Finance,Rice Owls,Rice University
Landon West,Catcher,"6'3""",215 lb,Kinesiology,Rice Owls,Rice University
J.D. McCracken,Left-Handed Pitcher,"6'3""",215 lb,Environmental Science,Rice Owls,Rice University
Karl Ralamb,Right-Handed Pitcher,"6'4""",225 lb,Computer Engineering,Rice Owls,Rice University
Marco Fuentes,Right-Handed Pitcher,"6'1""",205 lb,Political Science,Rice Owls,Rice University
Mark Perkins,Pitcher,"6'1""",200 lb,Economics,Rice Owls,Rice University
Aric Anderson,Catcher,"6'0""",200 lb,Health Sciences,Rice Owls,Rice University
Tom Vincent,Pitcher,"6'3""",230 lb,Applied Physics,Rice Owls,Rice University
Davion Hickson,Right-Handed Pitcher,"6'2""",205 lb,Information Systems,Rice Owls,Rice University
Matthew Rheaume,Right-Handed Pitcher,"6'5""",225 lb,Finance,Rice Owls,Rice University
Jake Melvin,Right-Handed Pitcher,"6'4""",205 lb,Statistics,Rice Owls,Rice University
Manny Garza,Catcher,"5'11""",205 lb,Criminal Justice,Rice Owls,Rice University
Jackson Mayo,Left-Handed Pitcher,"6'2""",175 lb,Biology,Rice Owls,Rice University
Tanner Fox,Right-Handed Pitcher,"6'4""",230 lb,Engineering Management,Rice Owls,Rice University
Tucker Alch,Right-Handed Pitcher,"6'5""",215 lb,Management Information Systems,Rice Owls,Rice University
Kyte McDonald,Outfield,"5'9""",195 lb,Communications,Rice Owls,Rice University
Robert Fernandez,Right-Handed Pitcher,"6'0""",220 lb,Accounting,Rice Owls,Rice University
Caleb Williams,Right-Handed Pitcher,"6'2""",210 lb,Data Analytics,Rice Owls,Rice University
Jackson Blank,Right-Handed Pitcher,"6'2""",205 lb,Information Technology,Rice Owls,Rice University
Keaton Grady,Infield,"5'9""",171 lb,Business Administration,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Dylan Schlaegel,Outfield,"5'10""",181 lb,Marketing,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Miguel Santos,Infield,"5'11""",176 lb,Finance,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Cody Grebeck,Infield,"5'7""",164 lb,Communications,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Michael Dattalo,Infield,"6'0""",197 lb,Economics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Alex Pendergast,Outfield,"6'0""",195 lb,Management,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Grant Jay,Catcher,"5'11""",222 lb,Kinesiology,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Nathan Humphreys,Outfield,"6'2""",211 lb,Public Health,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Adam Berghult,Catcher,"6'1""",210 lb,Information Systems,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Joey Nerat,Outfield,"5'11""",207 lb,Marketing Analytics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Luke Heefner,Infield,"6'0""",183 lb,Computer Science,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Aden Howard,Outfield,"6'1""",186 lb,Data Science,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Ethan Mann,Outfield,"6'1""",195 lb,International Business,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Sherman Johnson,Infield,"6'1""",186 lb,Accounting,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Dillon Haines,Left-Handed Pitcher,"5'9""",189 lb,Biology,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Ryan Johnson,Right-Handed Pitcher,"6'6""",215 lb,Engineering,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Chayton Krauss,Infield,"6'3""",227 lb,Supply Chain Management,Dallas Baptist Patriots,Dallas Baptist University (DBU)
David Heefner,Infield / Right-Handed Pitcher,"6'3""",211 lb,Statistics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Tom Poole,Infield,"6'2""",223 lb,Environmental Science,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Tyler Schott,Left-Handed Pitcher,"6'0""",200 lb,Health Sciences,Dallas Baptist Patriots,Dallas Baptist University (DBU)
James Ellwanger,Right-Handed Pitcher,"6'4""",209 lb,Information Technology,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Kobe Minchey,Right-Handed Pitcher,"6'2""",219 lb,Economics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Nick Wilson,Right-Handed Pitcher,"6'2""",200 lb,Political Science,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Ben Tryon,Infield,"6'0""",218 lb,Communications,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Jaron DeBerry,Right-Handed Pitcher,"6'3""",178 lb,Marketing,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Luke Pettitte,Right-Handed Pitcher,"6'2""",215 lb,Finance,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Conner Mackay,Right-Handed Pitcher,"6'1""",204 lb,Operations Management,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Connor Benge,Right-Handed Pitcher,"6'0""",180 lb,Applied Mathematics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
JJ Kennett,Catcher,"5'10""",175 lb,Sports Management,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Charlie Atkinson,Right-Handed Pitcher,"6'5""",215 lb,Engineering Management,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Jace Russell,Right-Handed Pitcher,"6'2""",198 lb,Information Systems,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Aiden Pollock,Outfield / Right-Handed Pitcher,"5'9""",170 lb,Media Studies,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Cade Wiegert,Right-Handed Pitcher,"6'4""",218 lb,Data Analytics,Dallas Baptist Patriots,Dallas Baptist University (DBU)
River Ridings,Left-Handed Pitcher,"6'3""",214 lb,Biology,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Myles Martinez,Left-Handed Pitcher,"6'4""",234 lb,Public Administration,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Zach Todd,Right-Handed Pitcher,"6'3""",237 lb,Finance,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Jerrod Jenkins,Right-Handed Pitcher,"6'2""",212 lb,Computer Engineering,Dallas Baptist Patriots,Dallas Baptist University (DBU)
Terrick Thompson-Allen,Outfielder,"6'3""",170 lb,Business Administration,Screaming Eagles,Southern Indiana
Mason Sweeney,Pitcher,"6'2""",200 lb,Finance,Screaming Eagles,Southern Indiana
Thomas Emerich,Infielder,"5'11""",170 lb,Marketing,Screaming Eagles,Southern Indiana
Roy Holcomb,Pitcher,"5'10""",185 lb,Communications,Screaming Eagles,Southern Indiana
Carter Stamm,Pitcher,"6'0""",165 lb,Economics,Screaming Eagles,Southern Indiana
Trent Robinson,Pitcher,"5'11""",190 lb,Management,Screaming Eagles,Southern Indiana
Ren Tachioka,Outfielder,"5'8""",180 lb,International Business,Screaming Eagles,Southern Indiana
Ricardo Van Grieken,Infielder,"6'0""",185 lb,Political Science,Screaming Eagles,Southern Indiana
Jack Ellis,Infielder,"6'0""",200 lb,Accounting,Screaming Eagles,Southern Indiana
Ethan Rothschild,Outfielder,"5'7""",150 lb,Computer Science,Screaming Eagles,Southern Indiana
Cameron Boyd,Outfielder,"6'0""",195 lb,Health Sciences,Screaming Eagles,Southern Indiana
Tyler Hutson,Pitcher,"6'3""",195 lb,Exercise Science,Screaming Eagles,Southern Indiana
Lane Crowden,Infielder,"6'5""",190 lb,Supply Chain Management,Screaming Eagles,Southern Indiana
Cory Anderson,Pitcher,"5'10""",175 lb,Criminal Justice,Screaming Eagles,Southern Indiana
Joe Ricchio,Catcher,"5'10""",200 lb,Information Systems,Screaming Eagles,Southern Indiana
Jacob Winzenread,Infielder,"6'2""",220 lb,Engineering,Screaming Eagles,Southern Indiana
Adam Weihe,Pitcher,"6'3""",220 lb,Applied Mathematics,Screaming Eagles,Southern Indiana
Will Kiesel,Pitcher,"6'1""",180 lb,Biology,Screaming Eagles,Southern Indiana
Adam Euler,Outfielder,"6'1""",210 lb,Communications,Screaming Eagles,Southern Indiana
Tanner Morgan,Pitcher,"6'1""",195 lb,Finance,Screaming Eagles,Southern Indiana
Abdriel Figueroa,Pitcher,"6'2""",170 lb,Public Health,Screaming Eagles,Southern Indiana
Caleb Niehaus,Infielder,"6'0""",190 lb,Marketing Analytics,Screaming Eagles,Southern Indiana
Logan Mock,Catcher,"5'11""",185 lb,Data Science,Screaming Eagles,Southern Indiana
Clayton Weisheit,Pitcher,"6'6""",220 lb,Information Technology,Screaming Eagles,Southern Indiana
Gavin Morris,Pitcher,"6'2""",200 lb,Economics,Screaming Eagles,Southern Indiana
Gavin Seebold,Pitcher,"6'1""",200 lb,Management,Screaming Eagles,Southern Indiana
Carson Seeman,Pitcher,"6'2""",200 lb,Engineering Management,Screaming Eagles,Southern Indiana
Grant Parson,Pitcher,"6'5""",175 lb,Applied Physics,Screaming Eagles,Southern Indiana
Bryson Reif,Pitcher,"6'0""",205 lb,Statistics,Screaming Eagles,Southern Indiana
Tyler Kapust,Catcher,"5'10""",195 lb,Operations Management,Screaming Eagles,Southern Indiana
Tucker Ebest,Infielder,"6'3""",225 lb,Finance,Screaming Eagles,Southern Indiana
Peyton Brown,Pitcher,"6'10""",250 lb,Mechanical Engineering,Screaming Eagles,Southern Indiana
Gage Smith,Pitcher,"5'8""",195 lb,Computer Engineering,Screaming Eagles,Southern Indiana
Jesus Rivas,Outfielder,"5'11""",180 lb,Media Studies,Screaming Eagles,Southern Indiana
Yahir Fonseca,Infielder,"6'3""",185 lb,International Relations,Screaming Eagles,Southern Indiana
Gavin Wilson,Pitcher,"6'1""",175 lb,Accounting,Screaming Eagles,Southern Indiana
Trevor Geddes,Pitcher,"6'7""",205 lb,Biology,Screaming Eagles,Southern Indiana
Kaydon Norkus,Pitcher,"6'2""",195 lb,Information Systems,Screaming Eagles,Southern Indiana
Nolan Cook,Infielder,"6'0""",190 lb,Economics,Screaming Eagles,Southern Indiana
Brady Watts,Pitcher,"5'11""",175 lb,Marketing,Screaming Eagles,Southern Indiana
Conner Anglin,Catcher,"6'0""",215 lb,Sports Management,Screaming Eagles,Southern Indiana
Jack Hendrix,Pitcher,"6'0""",170 lb,Public Administration,Screaming Eagles,Southern Indiana
Carson Phillips,Infield,"5'11""",185 lb,Business Administration,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Seth Robinson,Infield,"5'8""",170 lb,Marketing,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Tucker Czech,Infield,"6'2""",190 lb,Finance,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Brian Meyer,Outfield,"6'1""",195 lb,Communications,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Jake Tanner,Infield,"6'2""",200 lb,Economics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Julian Galassi,Outfield,"6'0""",190 lb,Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Nikko Andre,Catcher,"5'10""",195 lb,Kinesiology,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Carson Weathers,Outfield,"6'0""",185 lb,Public Health,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
John Leland,Outfield,"6'2""",195 lb,Political Science,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Gage Kirkland,Infield,"5'8""",175 lb,Computer Science,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Brayden Fowler,Right-Handed Pitcher,"6'2""",205 lb,Accounting,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Avery Sikes,Right-Handed Pitcher,"6'3""",210 lb,Statistics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Aiden Driscoll-Sadusky,Infield,"5'10""",185 lb,International Business,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Mack Cromer,Infield/Outfield,"6'5""",215 lb,Data Science,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Jack Wood,Right-Handed Pitcher,"5'11""",190 lb,Engineering,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Josh Patterson,Infield/Right-Handed Pitcher,"6'3""",205 lb,Information Systems,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Mitchell Singletary,Catcher,"6'1""",200 lb,Biology,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Cam Dimidjian,Left-Handed Pitcher,"5'11""",190 lb,Environmental Science,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Tyler Kennedy,Catcher,"6'0""",195 lb,Health Sciences,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Jacques Walker,Outfield,"5'10""",180 lb,Media Studies,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Tyler Hower,Right-Handed Pitcher/DH,"5'10""",185 lb,Marketing Analytics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Brandon Martin,Left-Handed Pitcher,"6'2""",200 lb,Finance,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Sebastian Biggs,Infield,"6'2""",205 lb,Operations Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Terry Dean,Catcher,"6'2""",210 lb,Supply Chain Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Hudson Morgan,Infield,"5'9""",175 lb,Communications,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Anthony Storzieri,Infield/Outfield,"6'2""",200 lb,Economics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Andrew Kleppinger,Right-Handed Pitcher,"5'10""",185 lb,Information Technology,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Aaron Benton,Catcher,"5'11""",190 lb,Sports Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Tucker Dove,Right-Handed Pitcher,"6'4""",215 lb,Accounting,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Aidan Cooper,Right-Handed Pitcher,"6'4""",210 lb,Data Analytics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Brayton Wilmes,Infield/Right-Handed Pitcher,"6'2""",205 lb,Statistics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Devin Marlow,Right-Handed Pitcher,"6'2""",200 lb,Finance,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Tanner Wagnon,Outfield,"6'3""",195 lb,Marketing,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Caleb Freeman,Infield,"6'0""",190 lb,Business Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Andrew Walters,Infield,"6'1""",185 lb,Public Administration,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Ian Barnes,Right-Handed Pitcher,"5'9""",180 lb,Computer Engineering,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Ty Siksta,Left-Handed Pitcher,"6'2""",195 lb,Biology,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Keylan Newton,Right-Handed Pitcher,"5'10""",190 lb,Finance,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Carson Tillotson,Right-Handed Pitcher,"6'2""",200 lb,Statistics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Dalton Snyder,Right-Handed Pitcher,"6'3""",205 lb,Information Systems,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Braden Welch,Infield/Right-Handed Pitcher,"6'4""",215 lb,Economics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Asher Western,Outfield,"6'2""",195 lb,Communications,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Michael Corrales,Right-Handed Pitcher,"5'9""",185 lb,Accounting,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Ryan Stansell,Infield,"6'1""",200 lb,Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Ryan Tayman,Right-Handed Pitcher,"6'3""",215 lb,Operations Management,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Roy Tayman,Right-Handed Pitcher,"6'4""",220 lb,Finance,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Hunter Miller,Infield/Outfield,"6'0""",190 lb,Marketing Analytics,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Garrett Helm,Outfield,"6'1""",195 lb,Computer Science,UC Santa Barbara Gauchos,"University of California, Santa Barbara"
Sebastian Alexander,Outfield,"6'1""",195 lb,Business Administration,The Chanticleers,Coastal Carolina University
Cameron Flukey,Right-Handed Pitcher,"6'6""",200 lb,Finance,The Chanticleers,Coastal Carolina University
Ty Dooley,Infield,"5'10""",183 lb,Marketing,The Chanticleers,Coastal Carolina University
Walker Mitchell,Infield,"5'11""",185 lb,Communications,The Chanticleers,Coastal Carolina University
Chad Born,Outfield,"6'1""",191 lb,Economics,The Chanticleers,Coastal Carolina University
Blake Barthol,Infield,"5'9""",187 lb,Management,The Chanticleers,Coastal Carolina University
Dean Mihos,Infield/Outfield,"5'9""",155 lb,Information Systems,The Chanticleers,Coastal Carolina University
Sam Antonacci,Infield,"6'0""",193 lb,Accounting,The Chanticleers,Coastal Carolina University
Chase Stryker,Right-Handed Pitcher,"5'11""",187 lb,Computer Science,The Chanticleers,Coastal Carolina University
Jake Books,Infield/Outfield,"6'1""",191 lb,Data Science,The Chanticleers,Coastal Carolina University
Parker Cassell,Right-Handed Pitcher,"5'11""",159 lb,Applied Mathematics,The Chanticleers,Coastal Carolina University
Zack Beach,Infield,"6'4""",232 lb,Engineering Management,The Chanticleers,Coastal Carolina University
Caden Bodine,Catcher,"5'10""",197 lb,Kinesiology,The Chanticleers,Coastal Carolina University
Hayden Johnson,Left-Handed Pitcher,"6'5""",219 lb,Biology,The Chanticleers,Coastal Carolina University
Trevor Hinkel,Right-Handed Pitcher,"6'2""",192 lb,Statistics,The Chanticleers,Coastal Carolina University
Corey Zientek,Outfield,"6'0""",190 lb,Public Health,The Chanticleers,Coastal Carolina University
Jake Manderson,Right-Handed Pitcher,"6'2""",207 lb,Finance,The Chanticleers,Coastal Carolina University
Graham Brown,Outfield,"6'0""",200 lb,International Business,The Chanticleers,Coastal Carolina University
Anthony Galason,Outfield,"5'7""",180 lb,Communications,The Chanticleers,Coastal Carolina University
Brice Estep,Catcher,"5'10""",196 lb,Marketing Analytics,The Chanticleers,Coastal Carolina University
Alexander Meckley,Right-Handed Pitcher,"6'2""",240 lb,Engineering,The Chanticleers,Coastal Carolina University
Riley Eikhoff,Right-Handed Pitcher,"5'11""",184 lb,Economics,The Chanticleers,Coastal Carolina University
Cameron Sebuck,Outfield,"6'0""",181 lb,Media Studies,The Chanticleers,Coastal Carolina University
Matthew Potok,Right-Handed Pitcher,"6'4""",215 lb,Operations Management,The Chanticleers,Coastal Carolina University
Andrew Bowers,Right-Handed Pitcher,"6'2""",215 lb,Information Technology,The Chanticleers,Coastal Carolina University
Will Smith,Right-Handed Pitcher,"6'0""",190 lb,Finance,The Chanticleers,Coastal Carolina University
Josh O'Neill,Right-Handed Pitcher,"5'10""",185 lb,Political Science,The Chanticleers,Coastal Carolina University
Tadan Bell,Left-Handed Pitcher,"6'2""",197 lb,Biology,The Chanticleers,Coastal Carolina University
Henry Weycker,Left-Handed Pitcher,"5'11""",210 lb,Public Administration,The Chanticleers,Coastal Carolina University
Ty Barrango,Infield,"6'1""",166 lb,Data Analytics,The Chanticleers,Coastal Carolina University
Bobby Atkinson,Infield,"5'10""",199 lb,Accounting,The Chanticleers,Coastal Carolina University
Elias Holbert,Right-Handed Pitcher,"6'4""",244 lb,Mechanical Engineering,The Chanticleers,Coastal Carolina University
Darin Horn,Right-Handed Pitcher,"6'4""",200 lb,Finance,The Chanticleers,Coastal Carolina University
Dominick Carbone,Left-Handed Pitcher,"5'10""",176 lb,Environmental Science,The Chanticleers,Coastal Carolina University
Oliver Ellison,Right-Handed Pitcher,"6'1""",199 lb,Information Systems,The Chanticleers,Coastal Carolina University
Matt Joyce,Right-Handed Pitcher,"5'10""",197 lb,Computer Engineering,The Chanticleers,Coastal Carolina University
Landon Edwards,Left-Handed Pitcher,"6'1""",210 lb,Economics,The Chanticleers,Coastal Carolina University
Bryce Shaffer,Left-Handed Pitcher,"6'2""",195 lb,Health Sciences,The Chanticleers,Coastal Carolina University
Ryan Lynch,Right-Handed Pitcher,"6'4""",234 lb,Supply Chain Management,The Chanticleers,Coastal Carolina University
Jacob Morrison,Right-Handed Pitcher,"6'8""",245 lb,Engineering Technology,The Chanticleers,Coastal Carolina University
Derek Bender,Catcher/Infield,"6'1""",235 lb,Sports Management,The Chanticleers,Coastal Carolina University
